거래번호,거래일자,계정과목,거래처,금액,적요,담당자,승인자,이상여부,이상유형
TXN0000007743,2025-08-07,매입,유한회사 발해보안,4472220,상품 매입,안정순,강지현,0,
TXN0000005232,2025-05-13,여비교통비,주식회사 다올,29600,숙박비,류영환,이예진,0,
TXN0000000902,2025-03-15,접대비,(유) 가람유니온그룹,299169,선물비,권준영,고정식,0,
ANO0000000932,2025-10-31,여비교통비,유한회사 푸른한빛네트웍스,6235127,출장비,고시우,최정순,1,비정상적 금액
TXN0000006872,2025-11-17,매출,(주) 원더정보통신,7343597,제품 판매,이병철,김성수,0,
TXN0000007360,2025-09-19,임차료,(유) 하나,2891419,사무실 임차료,박영일,박진우,0,
ANO0000000891,2025-04-21,접대비,특정거래처,98387,소액 접대,김철수,홍준영,1,빈번한 소액거래
TXN0000004572,2025-02-09,매입,(유) 비전유통,4078382,소모품 구매,김중수,김정숙,0,
TXN0000007328,2025-05-02,임차료,(주) 아름글로벌플랫폼,1395276,사무실 임차료,김정순,김예준,0,
TXN0000000450,2025-10-21,임차료,(주) 윈드,2211516,창고 임차료,송춘자,이영수,0,
TXN0000006294,2025-09-14,현금,(유) 원더보안,4969996,현금 입금,김현우,양종수,0,
TXN0000000751,2025-09-14,여비교통비,(유) 신라랩스,146755,숙박비,이정훈,이영식,0,
TXN0000005398,2025-01-22,접대비,유한회사 조선,387634,회식비,백정자,윤서윤,0,
TXN0000001328,2025-04-26,여비교통비,(유) 넥스트마루전자,151086,숙박비,양영식,박경자,0,
TXN0000008535,2025-01-03,급여,주식회사 글로벌,3376355,퇴직금 지급,이중수,강정순,0,
TXN0000006791,2025-05-25,매입,(유) 백제은행,4829073,소모품 구매,이시우,이준영,0,
TXN0000000200,2025-10-10,여비교통비,유한회사 넥스트마음시스템즈,95372,교통비,조건우,김영미,0,
ANO0000000175,2025-02-23,접대비,특정거래처,96387,소액 접대,김철수,김지민,1,빈번한 소액거래
TXN0000001427,2025-06-29,여비교통비,(주) 코어미래출판,121344,출장비,최정웅,고순자,0,
TXN0000002281,2025-05-07,매출,(유) 제나가야항공,7607657,제품 판매,박재현,강예진,0,
TXN0000002931,2025-09-02,임차료,주식회사 글로벌뷰티,2498069,사무실 임차료,김중수,강민석,0,
TXN0000002441,2025-06-16,여비교통비,(유) 씨앤씨테크,198704,교통비,이현우,김영숙,0,
TXN0000004705,2025-12-01,임차료,(유) 비전,2344651,창고 임차료,김현우,허준호,0,
TXN0000005479,2025-01-07,급여,유한회사 겨레,3154589,퇴직금 지급,송정순,양보람,0,
TXN0000003019,2025-02-18,접대비,(주) 발해신라솔루션,93758,거래처 접대,윤현정,김우진,0,
TXN0000007585,2025-07-30,매입,유한회사 코리아,1744610,상품 매입,강현주,하은정,0,
ANO0000000519,2025-11-17,접대비,특정거래처,95553,소액 접대,김철수,안진호,1,빈번한 소액거래
TXN0000001402,2025-04-03,접대비,(유) 가야,368644,회식비,이지우,이서영,0,
TXN0000003956,2025-01-22,매입,(유) 다올금고,3885592,상품 매입,정예은,최영자,0,
TXN0000005515,2025-10-14,급여,(유) 비전마루금고,4983995,퇴직금 지급,김현숙,박준혁,0,
TXN0000000438,2025-06-25,현금,주식회사 백제원더금고,4050661,소액 경비,박준혁,이서준,0,
TXN0000001178,2025-05-27,현금,(주) 한강금고,4657819,현금 입금,박재호,박정수,0,
TXN0000008525,2025-06-23,임차료,(유) 하나,2636204,사무실 임차료,김서윤,이현주,0,
TXN0000006972,2025-08-30,여비교통비,(주) 보람,62236,출장비,장보람,이예은,0,
TXN0000007854,2025-01-22,급여,(주) 가람솔루션,4158425,상여금 지급,김지아,김지후,0,
ANO0000000795,2025-02-04,접대비,동일거래처,450000,거래처 접대,김하은,백영순,1,중복거래
TXN0000002164,2025-01-14,현금,(주) 비전,2357866,현금 출금,이경수,이상철,0,
TXN0000007555,2025-10-13,급여,주식회사 코리아,4845316,급여 지급,김영길,최서영,0,
TXN0000003106,2025-10-10,급여,(유) 마음,4121836,급여 지급,김아름,윤영미,0,
TXN0000002329,2025-03-19,접대비,(유) 이노바이오,494919,거래처 접대,서성훈,김상훈,0,
TXN0000003987,2025-07-02,급여,주식회사 한빛,3642709,상여금 지급,지정숙,안민석,0,
TXN0000007295,2025-10-19,임차료,(주) 마루,1275838,사무실 임차료,한경숙,이시우,0,
TXN0000001127,2025-11-17,급여,유한회사 신라금고,2607353,급여 지급,서지은,백예지,0,
TXN0000006259,2025-02-25,급여,(유) 국민,3520547,급여 지급,김유진,고정웅,0,
TXN0000000706,2025-11-12,급여,주식회사 나루원더출판,2224565,퇴직금 지급,권정훈,이진우,0,
ANO0000000680,2025-06-05,매입,유한회사 조선,10000000,물품 구매,김미정,송민석,1,라운드 금액
TXN0000008301,2025-08-15,매출,(주) 가온한가람플랫폼,3208674,용역 제공,최지은,이은주,0,
TXN0000004639,2025-05-08,여비교통비,(주) 겨레,186065,교통비,안성수,손영미,0,
TXN0000008110,2025-09-26,임차료,주식회사 가온전자,737698,사무실 임차료,황성수,송영일,0,
TXN0000004228,2025-06-10,매출,(주) 가람,9987404,용역 제공,김정숙,이현지,0,
TXN0000004734,2025-12-18,임차료,주식회사 씨앤씨브레인금고,2705030,사무실 임차료,한영자,최상훈,0,
TXN0000006627,2025-06-21,접대비,주식회사 미래미래기획,479031,거래처 접대,강준호,윤영식,0,
TXN0000006133,2025-01-16,임차료,(주) 마루,1848384,사무실 임차료,전영환,이상철,0,
ANO0000000883,2025-04-26,여비교통비,주식회사 넥스트에이아이,8950769,출장비,박광수,박영희,1,비정상적 금액
TXN0000002861,2025-02-08,매출,(주) 스타발해기술,5564771,용역 제공,박경수,최영숙,0,
TXN0000008825,2025-11-18,급여,(유) 마음,2594004,급여 지급,김예준,강예원,0,
TXN0000002308,2025-04-14,현금,유한회사 발해소프트,4373951,소액 경비,나지혜,김현지,0,
TXN0000003979,2025-08-28,여비교통비,유한회사 나루,176606,교통비,이은정,김정숙,0,
TXN0000000576,2025-12-14,임차료,유한회사 원더코어시스템즈,1847767,사무실 임차료,김영철,이미정,0,
ANO0000000904,2025-11-08,현금,(유) 한강첨단센터,553021,긴급 지출,진서윤,황정순,1,주말 거래
TXN0000004289,2025-07-17,임차료,(주) 고려,936164,창고 임차료,김정호,김경숙,0,
TXN0000002130,2025-02-26,여비교통비,(유) 제나출판,10238,교통비,손상현,이지아,0,
TXN0000006390,2025-03-08,임차료,주식회사 이노가야기술,1534773,창고 임차료,이현지,오준혁,0,
TXN0000007429,2025-11-02,급여,유한회사 아름연구소,2619636,급여 지급,김성호,이예원,0,
TXN0000002855,2025-12-07,현금,주식회사 한빛월드개발공사,809307,현금 출금,김승민,신민석,0,
TXN0000000396,2025-02-10,매입,(주) 조선,3438533,소모품 구매,장예준,양정호,0,
TXN0000000796,2025-06-20,현금,주식회사 코어금고,3860973,현금 입금,김준영,김지아,0,
TXN0000005899,2025-08-13,매입,(주) 씨앤씨,1437246,소모품 구매,강숙자,김영철,0,
TXN0000003407,2025-12-27,접대비,(유) 인포네트워크,450815,선물비,박병철,강혜진,0,
ANO0000000633,2025-12-29,접대비,특정거래처,91130,소액 접대,김철수,이성진,1,빈번한 소액거래
TXN0000001803,2025-04-21,접대비,(주) 한빛전자,126027,거래처 접대,남보람,박영일,0,
TXN0000004396,2025-11-10,임차료,(주) 가야개발공사,1333154,창고 임차료,이지영,한영진,0,
TXN0000008220,2025-11-27,임차료,(주) 모두,1352629,창고 임차료,이미정,김건우,0,
TXN0000002724,2025-10-19,임차료,(유) 코어,1433262,창고 임차료,오현주,이영진,0,
TXN0000001822,2025-10-24,현금,주식회사 인포상사,2405709,소액 경비,허상호,서지후,0,
TXN0000008618,2025-04-10,매입,(유) 인포마음개발,2535768,상품 매입,최지혜,이은서,0,
TXN0000002840,2025-05-08,현금,(유) 코어,785959,현금 출금,김지연,노미영,0,
ANO0000000096,2025-09-10,여비교통비,유한회사 한강,7884288,출장비,이은정,김예준,1,비정상적 금액
TXN0000002360,2025-09-28,접대비,주식회사 윈드윈드테크,297258,선물비,홍중수,김현지,0,
TXN0000002377,2025-12-19,여비교통비,주식회사 신라개발,89547,교통비,최경수,이승민,0,
TXN0000001796,2025-05-05,매입,(주) 나루,4127175,원재료 구매,장영일,윤재호,0,
TXN0000006692,2025-06-26,매출,(유) 모두원더자동차,7076978,용역 제공,류현우,강지현,0,
TXN0000003455,2025-03-14,매입,주식회사 한가람기획,1137473,원재료 구매,이유진,서지영,0,
TXN0000000002,2025-02-06,접대비,유한회사 하나,114539,회식비,이영식,이정웅,0,
TXN0000006734,2025-07-29,현금,(유) 모두개발,1709045,현금 입금,백은영,강영미,0,
TXN0000005527,2025-06-22,임차료,유한회사 스타,2706039,창고 임차료,김상철,김정호,0,
TXN0000001979,2025-08-02,매출,유한회사 백제연구소,4624005,용역 제공,김재호,최주원,0,
TXN0000001873,2025-01-31,현금,유한회사 가람,2188882,현금 입금,서준서,이하은,0,
TXN0000006348,2025-08-24,급여,(주) 가람테크,3287785,상여금 지급,김병철,최진호,0,
TXN0000000938,2025-03-31,임차료,주식회사 발해라온시스템,2700073,사무실 임차료,주준호,홍지영,0,
TXN0000000442,2025-01-08,현금,유한회사 첨단중앙시스템,884248,소액 경비,이순자,이민석,0,
TXN0000005905,2025-09-15,여비교통비,(주) 국민나루제조,78737,교통비,차영수,류보람,0,
ANO0000000135,2025-03-01,현금,주식회사 비전소프트,293368,긴급 지출,황보람,이상훈,1,주말 거래
TXN0000006394,2025-05-07,여비교통비,(유) 글로벌,17879,교통비,김은주,고지민,0,
TXN0000005606,2025-08-11,급여,(유) 에코하나자동차,4420282,급여 지급,이승현,송민지,0,
TXN0000007208,2025-07-19,급여,(유) 비전에이아이,2833404,상여금 지급,이경수,강중수,0,
TXN0000004708,2025-09-13,매출,(주) 고구려시스템,3475159,제품 판매,이병철,이수민,0,
TXN0000008546,2025-09-12,여비교통비,(유) 네오,55049,숙박비,김성훈,박민서,0,
TXN0000000327,2025-04-19,임차료,주식회사 보람,2257761,사무실 임차료,심지연,김은영,0,
TXN0000004102,2025-01-09,급여,(유) 중앙,2209366,상여금 지급,김광수,윤광수,0,
TXN0000006104,2025-08-20,접대비,주식회사 모두,273898,선물비,류성현,남지연,0,
TXN0000005240,2025-07-28,현금,(주) 모두백제상사,469400,현금 출금,김주원,김영수,0,
TXN0000002640,2025-08-15,급여,(유) 첨단하나연구소,2355363,급여 지급,윤예원,서미경,0,
TXN0000005509,2025-03-27,급여,(주) 한강자동차,3291595,급여 지급,권영식,이서윤,0,
TXN0000007932,2025-12-27,여비교통비,(유) 인포항공,142013,숙박비,구명숙,임경수,0,
TXN0000000714,2025-10-30,급여,(주) 비전,2861028,급여 지급,허영진,박옥자,0,
TXN0000008163,2025-01-22,급여,(주) 나루한빛기술,4156911,퇴직금 지급,박예은,우준영,0,
TXN0000001302,2025-02-03,임차료,유한회사 보람,2039705,사무실 임차료,황정순,고영미,0,
TXN0000001981,2025-07-18,임차료,주식회사 우리,2446116,창고 임차료,배민석,손채원,0,
TXN0000008284,2025-05-17,여비교통비,(주) 중앙개발,141385,출장비,최은경,이성현,0,
TXN0000004351,2025-01-20,여비교통비,(주) 백제종합개발,187770,교통비,구상현,하정남,0,
TXN0000003655,2025-12-18,접대비,(주) 넥스트,288438,거래처 접대,이민수,이상호,0,
TXN0000005895,2025-06-12,임차료,유한회사 우리인포엔지니어링,2945159,사무실 임차료,이주원,서상훈,0,
TXN0000008456,2025-09-18,매출,주식회사 시너지,1313913,용역 제공,홍상철,최민수,0,
TXN0000001245,2025-06-24,임차료,(유) 유니온바이오,1524405,창고 임차료,김순자,황미숙,0,
TXN0000002733,2025-04-23,매출,(유) 발해,4256308,제품 판매,양미정,김지민,0,
TXN0000003730,2025-04-28,임차료,(유) 미래에이아이,2048335,창고 임차료,강은정,김유진,0,
TXN0000005004,2025-10-13,여비교통비,주식회사 가야,73923,교통비,홍진우,이성민,0,
TXN0000007751,2025-08-03,현금,(주) 라온,2885988,현금 입금,홍명자,박승민,0,
TXN0000005003,2025-09-04,급여,유한회사 글로벌이노시스템즈,4628663,급여 지급,김중수,이서준,0,
TXN0000004810,2025-07-01,임차료,주식회사 신라중앙반도체,1971118,사무실 임차료,박영일,안영순,0,
TXN0000004529,2025-11-20,매출,주식회사 윈드개발,8016311,제품 판매,정영호,김도윤,0,
TXN0000005720,2025-03-19,접대비,유한회사 미래신라개발공사,156531,거래처 접대,김수진,김민서,0,
ANO0000000617,2025-08-03,매입,(유) 브레인신문,10000000,물품 구매,이예진,이지현,1,라운드 금액
TXN0000004301,2025-09-21,급여,(주) 신라,3318784,퇴직금 지급,김지혜,박승현,0,
TXN0000005483,2025-06-16,현금,(주) 아름항공,2224441,현금 입금,김지후,김현우,0,
TXN0000005929,2025-11-16,접대비,유한회사 아름마루센터,173461,거래처 접대,백성민,박명숙,0,
ANO0000000367,2025-11-15,현금,주식회사 하나국민보안,184853,긴급 지출,김미정,윤경수,1,주말 거래
TXN0000001980,2025-02-16,현금,(주) 발해중앙은행,647457,현금 출금,김건우,이선영,0,
ANO0000000360,2025-06-07,접대비,동일거래처,450000,거래처 접대,강미정,이지아,1,중복거래
TXN0000005764,2025-01-10,임차료,(주) 원더우리반도체,2810770,창고 임차료,김경수,김경수,0,
TXN0000000911,2025-06-07,매출,주식회사 아름우리개발공사,700430,제품 판매,이예은,오진우,0,
TXN0000003391,2025-06-13,매출,유한회사 고구려,9951565,용역 제공,안서준,김명자,0,
TXN0000008858,2025-06-30,현금,주식회사 코어글로벌에이아이,3075564,소액 경비,최민서,주병철,0,
TXN0000002848,2025-11-24,접대비,주식회사 가람,187065,회식비,박민석,정경수,0,
TXN0000003206,2025-04-13,임차료,유한회사 백제금고,2868242,창고 임차료,윤주원,김지우,0,
TXN0000001793,2025-07-21,여비교통비,(주) 씨앤씨네트워크,73697,교통비,이은영,고경수,0,
TXN0000004642,2025-03-18,임차료,(유) 가온가야개발,2243844,사무실 임차료,김정호,이윤서,0,
TXN0000003201,2025-07-05,매출,주식회사 가온,4528422,용역 제공,윤경희,이보람,0,
TXN0000003775,2025-05-20,급여,유한회사 한강,3643301,상여금 지급,김성진,강영진,0,
TXN0000007766,2025-11-07,접대비,유한회사 글로벌,430736,거래처 접대,홍수민,조채원,0,
TXN0000001581,2025-10-13,매입,주식회사 가야,3118384,소모품 구매,김지영,류영길,0,
TXN0000004064,2025-04-02,급여,주식회사 백제센터,4431333,급여 지급,곽영철,김민준,0,
TXN0000001468,2025-10-07,매입,유한회사 씨앤씨기술,615824,상품 매입,장정호,김승현,0,
TXN0000000276,2025-08-24,임차료,(주) 씨앤씨가람네트웍스,2025619,창고 임차료,홍병철,홍정호,0,
TXN0000002876,2025-10-09,매출,(주) 브레인원더기술,821081,수수료 수입,안민준,홍승현,0,
TXN0000008362,2025-08-04,접대비,(유) 신라제조,413095,거래처 접대,김은영,강순옥,0,
ANO0000000157,2025-06-23,접대비,특정거래처,90005,소액 접대,김철수,민민석,1,빈번한 소액거래
TXN0000004723,2025-07-03,매출,유한회사 씨앤씨,4580617,제품 판매,이정웅,김병철,0,
TXN0000000595,2025-08-18,매출,주식회사 글로벌,1395200,제품 판매,남지연,김하은,0,
TXN0000008467,2025-08-19,매입,(유) 종합,4671399,상품 매입,박재현,김현주,0,
TXN0000005965,2025-04-01,여비교통비,(주) 넥스트랩스,114886,교통비,서정순,김재현,0,
TXN0000001783,2025-01-30,급여,(유) 푸른가람금고,4876395,퇴직금 지급,김영수,이성현,0,
TXN0000007604,2025-08-31,매입,유한회사 브레인금고,1143195,상품 매입,강은지,김순자,0,
ANO0000000744,2025-01-31,접대비,동일거래처,450000,거래처 접대,최광수,박영진,1,중복거래
TXN0000004391,2025-08-13,매입,(주) 미래유니온보안,314993,상품 매입,장정희,신주원,0,
TXN0000005833,2025-10-21,임차료,주식회사 신라테크,2222561,사무실 임차료,최미정,김중수,0,
TXN0000004052,2025-05-14,여비교통비,(주) 시너지그룹,62924,교통비,김준호,고숙자,0,
ANO0000000630,2025-01-20,접대비,동일거래처,450000,거래처 접대,배지민,김정숙,1,중복거래
ANO0000000657,2025-07-24,여비교통비,주식회사 월드에너지,8096843,출장비,김지훈,차하윤,1,비정상적 금액
TXN0000008768,2025-05-11,현금,유한회사 모두은행,4916337,소액 경비,강춘자,김예진,0,
TXN0000000674,2025-03-30,여비교통비,(주) 조선,47683,교통비,박민준,김현준,0,
TXN0000001559,2025-09-25,접대비,주식회사 원더,274702,회식비,홍광수,박현숙,0,
TXN0000003519,2025-05-07,접대비,(유) 마음,78964,선물비,김지민,김서연,0,
TXN0000001021,2025-07-18,급여,(주) 미래시스템,3652214,퇴직금 지급,김성수,이광수,0,
TXN0000004913,2025-06-09,임차료,유한회사 코어솔루션,671195,사무실 임차료,박현지,권민수,0,
TXN0000004667,2025-11-01,현금,(주) 발해에너지,714595,현금 입금,이지훈,박영순,0,
TXN0000000949,2025-12-23,현금,(주) 가온,1688271,소액 경비,박우진,권예진,0,
TXN0000005295,2025-07-17,현금,주식회사 모두시스템즈,1714489,현금 입금,박은서,이민재,0,
ANO0000000557,2025-05-23,여비교통비,(유) 유니온전자,6485879,출장비,김영자,백현지,1,비정상적 금액
TXN0000001946,2025-09-26,접대비,유한회사 겨레그룹,203111,회식비,김수빈,이예지,0,
TXN0000006188,2025-03-26,매출,(유) 글로벌,5063696,수수료 수입,김영호,이경자,0,
TXN0000003267,2025-11-27,접대비,(유) 우리바이오,423240,거래처 접대,김민수,이현숙,0,
TXN0000008451,2025-01-03,임차료,유한회사 백제,1916870,창고 임차료,박영호,최지훈,0,
TXN0000007255,2025-07-31,급여,(주) 가온은행,4927905,급여 지급,최상철,황지은,0,
TXN0000003038,2025-04-21,급여,(유) 한빛보람시스템즈,3545884,퇴직금 지급,김영일,이은경,0,
TXN0000006180,2025-01-02,접대비,유한회사 겨레,428640,선물비,최정수,김예진,0,
TXN0000004443,2025-07-27,매입,(유) 아름다올코스메틱,3657966,원재료 구매,최진호,최성현,0,
TXN0000003816,2025-02-02,매출,(주) 한빛,7437944,용역 제공,황성수,박도윤,0,
TXN0000005260,2025-08-29,임차료,(유) 발해,801093,창고 임차료,장종수,김영미,0,
TXN0000008473,2025-09-19,현금,(주) 신라,1752372,현금 출금,강민준,이정순,0,
TXN0000002066,2025-01-26,여비교통비,(주) 코어,164291,교통비,김지원,최준호,0,
ANO0000000101,2025-12-13,현금,주식회사 신라보안,945785,긴급 지출,유지민,이병철,1,주말 거래
TXN0000003139,2025-07-23,여비교통비,(유) 에코솔루션,55683,숙박비,신수빈,김영호,0,
ANO0000000077,2025-03-05,매입,(주) 넥스트한빛상사,5000000,물품 구매,권서준,김선영,1,라운드 금액
TXN0000004030,2025-11-18,여비교통비,(유) 보람그룹,88129,출장비,김현지,이춘자,0,
TXN0000003567,2025-01-10,매입,주식회사 코어마음네트웍스,4546486,상품 매입,류예지,이건우,0,
TXN0000003032,2025-01-23,임차료,유한회사 스타,1100685,사무실 임차료,강민수,이우진,0,
TXN0000004826,2025-04-20,현금,(주) 이노,1471675,현금 입금,이건우,김정희,0,
TXN0000008371,2025-06-02,매입,(주) 중앙네오전자,2252110,원재료 구매,양현숙,김아름,0,
TXN0000004625,2025-12-06,현금,(유) 가람한빛반도체,2746480,현금 입금,박민재,장동현,0,
TXN0000003130,2025-11-19,접대비,(유) 유니온,347990,회식비,김아름,류도현,0,
TXN0000000694,2025-02-09,임차료,유한회사 종합에이아이,1797726,창고 임차료,김진호,손숙자,0,
TXN0000005209,2025-02-08,임차료,(유) 푸른글로벌랩스,1022008,창고 임차료,윤춘자,강혜진,0,
TXN0000005286,2025-06-30,현금,유한회사 넥스트플랫폼,3529548,소액 경비,김영미,김지연,0,
TXN0000005481,2025-10-11,매입,주식회사 가온,565467,소모품 구매,박미정,송진호,0,
TXN0000000370,2025-05-19,임차료,주식회사 가람,1759237,사무실 임차료,김지민,김민수,0,
TXN0000004094,2025-08-14,매출,주식회사 에코가야상사,7847750,용역 제공,조수민,최성진,0,
TXN0000008842,2025-02-02,현금,(주) 시너지브레인항공,3369983,현금 입금,윤성민,유준호,0,
TXN0000007271,2025-12-24,임차료,주식회사 비전뷰티,1137415,창고 임차료,이은주,김경희,0,
TXN0000001035,2025-05-25,접대비,유한회사 모두,217602,선물비,최하은,오상철,0,
TXN0000008715,2025-06-10,매입,(주) 제나금고,1620870,소모품 구매,최영길,조준영,0,
ANO0000000125,2025-06-22,현금,유한회사 가람코리아항공,893188,긴급 지출,이수빈,강옥순,1,주말 거래
TXN0000008117,2025-08-09,매입,유한회사 스타가람기술,410741,원재료 구매,김상현,김중수,0,
ANO0000000581,2025-04-22,접대비,동일거래처,450000,거래처 접대,주순자,권상현,1,중복거래
TXN0000005416,2025-04-25,현금,유한회사 네오네트워크,3503566,소액 경비,김정식,이영호,0,
ANO0000000278,2025-10-12,여비교통비,(유) 첨단기술,6148706,출장비,김영길,박은경,1,비정상적 금액
TXN0000006860,2025-03-11,임차료,(주) 에코코어출판,2054275,사무실 임차료,이지아,이성민,0,
TXN0000008701,2025-09-06,여비교통비,(주) 아름금고,75492,숙박비,허지은,남영호,0,
TXN0000004402,2025-07-24,임차료,(주) 다올시스템,737019,사무실 임차료,김건우,최준혁,0,
TXN0000001886,2025-08-22,매출,유한회사 넥스트,6618762,수수료 수입,권민서,강상훈,0,
TXN0000000452,2025-12-04,접대비,유한회사 코리아비전테크,358270,회식비,송상훈,황지아,0,
TXN0000004611,2025-10-18,여비교통비,주식회사 씨앤씨,152057,숙박비,김서연,김서영,0,
TXN0000006940,2025-04-12,급여,주식회사 발해연구소,4099925,퇴직금 지급,김서영,최미경,0,
TXN0000003348,2025-09-27,현금,(주) 가야금고,4458578,현금 출금,김미정,오수빈,0,
TXN0000003338,2025-12-24,매입,유한회사 유니온,4316440,상품 매입,김현우,송민준,0,
TXN0000001527,2025-02-04,매입,주식회사 넥스트,1685562,상품 매입,최서현,오시우,0,
TXN0000001680,2025-08-19,임차료,주식회사 네오코리아테크,1271750,창고 임차료,김시우,홍은정,0,
TXN0000005484,2025-09-18,급여,(주) 한빛,3387799,상여금 지급,남정남,남상철,0,
TXN0000006085,2025-11-14,매입,유한회사 고구려,4711630,소모품 구매,김지원,배민지,0,
ANO0000000999,2025-08-16,현금,(주) 마음,818377,긴급 지출,최순자,이진우,1,주말 거래
ANO0000000888,2025-03-03,매입,주식회사 겨레랩스,1000000,물품 구매,송병철,조준혁,1,라운드 금액
TXN0000008859,2025-10-20,매출,주식회사 가람랩스,6354169,수수료 수입,남지우,김민석,0,
TXN0000000586,2025-05-06,접대비,(주) 글로벌조선바이오,199240,선물비,이영식,김수민,0,
TXN0000003608,2025-08-30,접대비,주식회사 코리아아름개발공사,264828,거래처 접대,김예지,서보람,0,
TXN0000007418,2025-03-20,접대비,유한회사 글로벌엔지니어링,99759,회식비,박영환,장승민,0,
TXN0000001694,2025-12-27,임차료,(유) 넥스트,2067820,사무실 임차료,김영호,손은서,0,
TXN0000000947,2025-09-10,매출,유한회사 코리아신문,1147259,수수료 수입,이정자,이지후,0,
TXN0000004520,2025-02-09,현금,유한회사 윈드,4700296,소액 경비,유종수,김미경,0,
TXN0000003453,2025-12-21,매출,(유) 한가람,6958605,제품 판매,김현준,황영자,0,
TXN0000008857,2025-05-11,임차료,주식회사 월드랩스,814914,창고 임차료,서영희,문서연,0,
TXN0000007043,2025-11-17,급여,(주) 모두,4287610,상여금 지급,허채원,김서현,0,
TXN0000008908,2025-04-08,매출,유한회사 모두바이오,8500414,수수료 수입,홍지영,김현숙,0,
TXN0000007567,2025-06-23,여비교통비,주식회사 마음한빛네트웍스,70799,숙박비,김영자,양은경,0,
TXN0000004050,2025-04-30,현금,(유) 마루코스메틱,759049,현금 출금,류승현,김영호,0,
